Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_756.jpg;2.876904;0;0;0.4551678;98.27251;84.82395;359.8993;210.6692;359.9217
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_822.jpg;5.867561;0;0;0.4525372;98.24979;84.80935;359.8899;210.8309;359.9736
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_889.jpg;5.83534;0;0;0.4501084;98.22001;84.78945;359.8776;211.1345;0.04969855
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_956.jpg;2.821779;0;0;0.4489602;98.19743;84.77502;359.8712;211.2593;0.08788177
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_025.jpg;0;0;0;0.4471408;98.17465;84.761;359.8665;211.2984;0.1108862
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_089.jpg;0;0;0;0.4456128;98.14425;84.74256;359.8623;211.2996;0.129543
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_157.jpg;0;0;0;0.444063;98.12151;84.72878;359.8608;211.2996;0.1390529
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_223.jpg;0;0;0;0.4420096;98.09885;84.71502;359.8606;211.2997;0.1448867
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_290.jpg;0;0;0;0.4404798;98.06872;84.69673;359.862;211.2997;0.1473166
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_357.jpg;0;0;0;0.4389588;98.0462;84.68305;359.8642;211.2998;0.145475
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_423.jpg;0;0;0;0.4369443;98.02374;84.66942;359.8672;211.2998;0.1408402
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_489.jpg;0;0;0;0.4354431;97.99392;84.6513;359.872;211.2998;0.1309075
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_557.jpg;0;0;0;0.4339498;97.97163;84.63776;359.8761;211.2999;0.121119
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_623.jpg;0;0;0;0.4319702;97.94942;84.62426;359.8805;211.2999;0.1097397
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_690.jpg;0;0;0;0.4304934;97.91991;84.60632;359.8864;211.2999;0.09273711
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_757.jpg;0;0;0;0.4290231;97.89789;84.59292;359.8907;211.2999;0.07908173
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_823.jpg;0;0;0;0.427072;97.87593;84.57957;359.8948;211.2999;0.06503671
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_891.jpg;0;0;0;0.4256153;97.84679;84.56184;359.8998;211.2999;0.04625044
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_31_957.jpg;0;0;0;0.4241642;97.82503;84.54859;359.9031;211.2999;0.03249107
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_023.jpg;0;0;0;0.4222377;97.80335;84.53539;359.906;211.2999;0.01929691
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_090.jpg;0;0;0;0.420799;97.77457;84.51787;359.9091;211.2999;0.002956609
